,playars name,catagery,points
0,"
            Kashiling Adake
         ","<div class=""players-list-category"">
            All Rounder         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable All Rounder"">Raid Pts</div>
<div class=""short-stats-value All Rounder"">1122/2390 </div>
</div>"
1,"
            Pardeep Narwal
         ","<div class=""players-list-category"">
            Raider         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable Raider"">Raid Pts</div>
<div class=""short-stats-value Raider"">1408/2381 </div>
</div>"
2,"
            Pawan Kumar Sehrawat
         ","<div class=""players-list-category"">
            All Rounder         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable All Rounder"">Raid Pts</div>
<div class=""short-stats-value All Rounder"">1246/1789 </div>
</div>"
3,"
            Deepak Niwas Hooda
         ","<div class=""players-list-category"">
            All Rounder         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable All Rounder"">Raid Pts</div>
<div class=""short-stats-value All Rounder"">1042/2152 </div>
</div>"
4,"
            Rahul Chaudhari
         ","<div class=""players-list-category"">
            All Rounder         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable All Rounder"">Raid Pts</div>
<div class=""short-stats-value All Rounder"">1040/2198 </div>
</div>"
5,"
            Maninder Singh
         ","<div class=""players-list-category"">
            Raider         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable Raider"">Raid Pts</div>
<div class=""short-stats-value Raider"">1003/1638 </div>
</div>"
6,"
            Sandeep Narwal
         ","<div class=""players-list-category"">
            All Rounder         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable All Rounder"">Raid Pts</div>
<div class=""short-stats-value All Rounder"">297/852 </div>
</div>"
7,"
            Manjeet Chhillar
         ","<div class=""players-list-category"">
            Defender         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable Defender"">Raid Pts</div>
<div class=""short-stats-value Defender"">226/726 </div>
</div>"
8,"
            Ajay Thakur
         ","<div class=""players-list-category"">
            Raider         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable Raider"">Raid Pts</div>
<div class=""short-stats-value Raider"">801/1704 </div>
</div>"
9,"
            Naveen Kumar
         ","<div class=""players-list-category"">
            Raider         </div>","<div class=""short-stats-div"">
<div class=""short-stats-lable Raider"">Raid Pts</div>
<div class=""short-stats-value Raider"">917/1411 </div>
</div>"
